pack,kind,sha256,files,basis
API-sol-usage-export-sectioned-audit,PROCESS_AUDIT,b42abfbb8ea2f330f9be348b9461c239e19cdebd3f71b4cf394b81abf6ca0818,29,verdict + review/plan analysis + requirement/plan evidence
AnyUpright-debug-app-flow-deescalation-sectioned-audit,PROCESS_AUDIT,c8fef84562fb5efea6448a36f1ac5be411dcd7abd3a574537d983f15db9aeba0,17,verdict + review/plan analysis + requirement/plan evidence
AnyUpright-fcp-motion-analysis-time-domain-sectioned-audit,PROCESS_AUDIT,0eef1c0be0fa8b4b87833dc2173a5e9f5259890e176f1a095e1af8dc8515b418,18,verdict + review/plan analysis + requirement/plan evidence
codex-rosetta-availability-snapshot-cooldown-recovery-20260901-sectioned-audit,PROCESS_AUDIT,2b45369549ca07ccf265871fd1d3d7e4268d32f919678fab8584d26f9d6c037a,18,verdict + review/plan analysis + requirement/plan evidence
codex-rosetta-codex-cockpit-provider-health-sectioned-audit,PROCESS_AUDIT,f1ecbc7a1f206bc0d5b5d4325feac97e5116c06b2ef7e25eb71b2c560615a482,31,verdict + review/plan analysis + requirement/plan evidence
codex-rosetta-failover-429-cooldown-20260826-sectioned-audit,PROCESS_AUDIT,378c30a5b817325a5482114dc04398208da99d95d7571e6a011de26c357d8a3a,20,verdict + review/plan analysis + requirement/plan evidence
codex-rosetta-failover-connectivity-cooldown-20260826-sectioned-audit,PROCESS_AUDIT,82ad0943ad4f08880896a881c1d47c4653437fd5e311a87e666eda503d9768c3,19,verdict + review/plan analysis + requirement/plan evidence
codex-rosetta-glm53-catalog-update-20260902-sectioned-audit,PROCESS_AUDIT,c4e6b177fe203a8df55ed6126d286c361e6b0235f684976f9b4743f139cee278,35,verdict + review/plan analysis + requirement/plan evidence
codex-rosetta-remove-observability-diagnostics-sectioned-audit,PROCESS_AUDIT,6211b724b5af909e88d07fbf5af601cf4b598c30932369c183b04c525852c73f,28,verdict + review/plan analysis + requirement/plan evidence
lmdo-website-create-project-needs-score-sectioned-audit,PROCESS_AUDIT,db7cf8b405b32e87c8ad3f3942874fc51c06cb45f8661a5e584b7be328cf6f63,20,verdict + review/plan analysis + requirement/plan evidence
lmdo-website-dynamic-performance-groups-20260831-sectioned-audit,PROCESS_AUDIT,0eb2f382935cc41c0f713899588128ce73768936ef69122f5a72f9a0cc676505,61,verdict + review/plan analysis + requirement/plan evidence
lmdo-website-group-instrument-inline-management-20260903-sectioned-audit,PROCESS_AUDIT,b8442280d6372adc77d6911aef5b065ec77cd0964683aae767cc911ae98061af,27,verdict + review/plan analysis + requirement/plan evidence
lmdo-website-group-to-lead-category-sectioned-audit,PROCESS_AUDIT,b6257bab00fb188f6497ba64a740d245ce776faf3fe349c943f13f81cd597a31,42,verdict + review/plan analysis + requirement/plan evidence
lmdo-website-management-list-ui-20260826-sectioned-audit,PROCESS_AUDIT,c3b203d11219d7bd6521d39663e689777c0fe279c49bfc07ea04a3bbd47abe16,84,verdict + review/plan analysis + requirement/plan evidence
lmdo-website-pinyin-user-search-sectioned-audit,PROCESS_AUDIT,daaef55f82b8edfdadda8241453885d7bd538a9f0cdb0bc7cfd0235ac6debbe5,38,verdict + review/plan analysis + requirement/plan evidence
lmdo-website-pr104-must-fix-sectioned-audit,PROCESS_AUDIT,95f61953f707a37dedf0885748690720ebf311455c040f2b0075841bbfc9c821,334,verdict + review/plan analysis + requirement/plan evidence
lmdo-website-project-detail-multipage-sectioned-audit,PROCESS_AUDIT,bc779d5167017ecfcc778d69c04bb0e9566b7d9bf79cd27607577194b0f59351,19,verdict + review/plan analysis + requirement/plan evidence
lmdo-website-project-summary-inline-autosave-sectioned-audit,PROCESS_AUDIT,58b747d2c2581e26278ac105b52a98a704fe667249b4b4f2e39e51a6af9e7a4d,21,verdict + review/plan analysis + requirement/plan evidence
lmdo-website-remove-unassigned-performance-group-20260902-sectioned-audit,PROCESS_AUDIT,4f9b86eda1bdf2742d2adc8f107f5edb6989beb4385a6265df5c56beb193074b,47,verdict + review/plan analysis + requirement/plan evidence
lmdo-website-shared-personnel-management-20260825-sectioned-audit,PROCESS_AUDIT,b88ae2302e4d7fce10256988fe869b10a1c30f7d9c23ff8fcea87ae6885645b3,37,verdict + review/plan analysis + requirement/plan evidence
pppms-portal-native-acquisition-closeout-cleanup-sectioned-audit,PROCESS_AUDIT,5b1eb1758f78d3ced39cf9f55302ef2c663885b498ea8139fc98ae03dc41e697,74,verdict + review/plan analysis + requirement/plan evidence
pppms-portal-native-acquisition-dead-path-cleanup-sectioned-audit,PROCESS_AUDIT,6a2a224648a4788e29e762d0e742108762050ff700aa8e24eee5a35de6cc7922,63,verdict + review/plan analysis + requirement/plan evidence
pppms-portal-native-acquisition-performance-sectioned-audit,PROCESS_AUDIT,f40529506e43b6f633ad173727550f2d8f89a083cf601a1db1e3344869760b41,50,verdict + review/plan analysis + requirement/plan evidence
pppms-portal-top-banner-only-operational-errors-sectioned-audit,PROCESS_AUDIT,881d5aeeece41d165907f2f0bc69b83468033991422c163a4ee43e131308f57d,30,verdict + review/plan analysis + requirement/plan evidence
pppms-portal-unified-operator-ui-sectioned-audit,PROCESS_AUDIT,2827e42bafc95054108c0201d04b21a69994541aebb2e0b148c0d284dfeabfcb,155,verdict + review/plan analysis + requirement/plan evidence
scsc-mms-datatable-041-migration-sectioned-audit,PROCESS_AUDIT,86a492970d0460210d03a81082675859f47af06b1624ffc944d217ea5dea6727,25,verdict + review/plan analysis + requirement/plan evidence
scsc-mms-dropdown-typeahead-member-select-20260827-sectioned-audit,PROCESS_AUDIT,aaa113340470161ecc607a1674f221ee488e3edcb97803446955e7bc0ff11c76,33,verdict + review/plan analysis + requirement/plan evidence
scsc-mms-fixed-project-catalog-20260825-sectioned-audit,PROCESS_AUDIT,f504d80d1216ea47a0a3c956c3623ae4e45408f776b02ebef532fd0aff41adbc,57,verdict + review/plan analysis + requirement/plan evidence
scsc-mms-fsii-member-nonmember-parity-sectioned-audit,PROCESS_AUDIT,3f8fbab2584c8829ead5a399f24482deb1b03247af7708556d6308a0482e59e3,33,verdict + review/plan analysis + requirement/plan evidence
